日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/09/24,"310,823","21,214,470",68.40,68.70,68.00,68.10,+0.10,224
110/09/27,"348,644","23,754,845",68.00,68.40,67.90,67.90,-0.20,240
110/09/28,"220,201","14,953,729",67.90,68.20,67.70,67.90, 0.00,213
110/09/29,"949,881","63,640,917",67.50,67.50,66.80,66.80,-1.10,754
110/09/30,"376,557","25,146,378",66.70,67.20,66.40,67.10,+0.30,342
110/10/01,"982,684","65,001,172",66.90,66.90,66.00,66.10,-1.00,761
110/10/04,"539,820","35,539,539",66.30,66.30,65.50,66.00,-0.10,372
110/10/05,"725,256","47,740,324",65.60,66.70,65.20,66.30,+0.30,457
110/10/06,"567,487","37,612,840",66.60,66.90,66.00,66.80,+0.50,411
110/10/07,"539,110","36,169,353",66.90,67.40,66.50,67.10,+0.30,360
110/10/08,"275,180","18,544,618",67.10,67.70,67.10,67.10, 0.00,214
110/10/12,"345,206","22,859,836",66.70,66.70,66.00,66.10,-1.00,293
110/10/13,"532,078","35,056,893",66.60,66.70,65.60,65.60,-0.50,416
110/10/14,"362,390","23,772,237",65.70,65.90,65.30,65.60, 0.00,313
110/10/15,"445,912","29,674,430",65.90,66.90,65.90,66.70,+1.10,319
110/10/18,"228,027","15,203,367",66.60,67.10,66.40,66.60,-0.10,215
110/10/19,"403,872","26,961,666",66.40,67.00,66.40,67.00,+0.40,489
110/10/20,"386,594","26,050,321",67.30,67.60,67.10,67.60,+0.60,249
110/10/21,"793,775","53,991,899",68.00,68.30,67.50,68.20,+0.60,422
110/10/22,"183,605","12,407,320",68.20,68.20,67.20,67.60,-0.60,169
110/10/25,"197,887","13,413,504",67.10,68.10,67.10,67.90,+0.30,154
110/10/26,"549,835","37,456,860",67.90,68.40,67.90,68.10,+0.20,289
110/10/27,"329,945","22,447,724",67.90,68.40,67.70,68.10, 0.00,357
110/10/28,"486,001","32,939,638",68.30,68.40,67.50,67.80,-0.30,303
110/10/29,"548,912","37,056,964",67.80,67.80,67.30,67.50,-0.30,280
110/11/01,"445,554","30,213,690",67.80,68.20,67.50,67.80,+0.30,370
110/11/02,"514,865","35,056,910",68.00,68.60,67.60,68.00,+0.20,438
110/11/03,"448,804","30,503,440",67.90,68.30,67.70,68.10,+0.10,395
110/11/04,"436,764","29,802,338",68.60,68.60,67.90,68.20,+0.10,372
110/11/05,"885,394","60,940,010",68.60,69.30,68.30,69.00,+0.80,872
110/11/08,"1,002,102","69,993,991",69.10,70.20,69.10,70.00,+1.00,824
110/11/09,"594,101","41,480,957",70.30,70.30,69.50,70.00, 0.00,577
110/11/10,"378,691","26,506,652",70.00,70.60,69.70,70.00, 0.00,501
110/11/11,"1,071,824","74,674,889",70.00,70.70,68.60,68.60,-1.40,732
110/11/12,"761,952","53,277,953",69.30,70.60,69.30,70.00,+1.40,648
110/11/15,"1,634,524","113,271,920",70.50,70.50,68.60,69.00,-1.00,"1,011"
